municipio,homicidio,furtos_veiculo,furtos,roubos,latrocionio,roubo_veiculo,extorsao,extorsao_sequesto,estelionato,delitos_corrupcao,posse_entorpecente,delitos_municoes,trafico_entorpecente,ano
"SAO VALERIO DO SUL",1,1,6,0,0,0,0,0,0,0,0,9,0,2008
"SAO VENDELINO",0,1,3,1,0,1,0,0,0,0,0,0,0,2008
"SAO VICENTE DO SUL",1,1,108,5,2,0,1,0,6,0,1,4,1,2008
SAPIRANGA,6,60,1512,241,0,51,2,0,121,1,72,18,17,2008
"SAPUCAIA DO SUL",24,217,2549,1229,2,288,0,0,127,1,42,65,34,2008
SARANDI,1,9,385,37,0,5,0,0,35,0,11,22,9,2008
SEBERI,0,3,136,11,0,0,1,0,4,0,3,12,4,2008
"SEDE NOVA",0,0,15,1,0,0,0,0,0,0,0,0,0,2008
SEGREDO,1,0,43,3,0,1,0,0,5,0,0,11,0,2008
SELBACH,0,3,68,3,0,0,1,0,7,2,1,5,0,2008
"SENADOR SALGADO FILHO",0,0,12,0,0,0,0,0,0,0,0,1,0,2008
"SENTINELA DO SUL",0,3,68,5,0,2,0,0,3,0,0,3,0,2008
"SERAFINA CORREA",0,4,114,10,0,1,2,0,18,0,8,3,1,2008
SERIO,0,1,21,0,0,0,0,0,1,0,0,4,0,2008
SERTAO,1,1,50,8,0,0,0,0,4,0,0,3,0,2008
"SERTAO SANTANA",0,0,53,10,0,0,3,0,2,0,0,1,0,2008
"SETE DE SETEMBRO",0,0,20,2,0,0,0,0,0,0,0,0,0,2008
"SEVERIANO DE ALMEIDA",0,1,44,1,0,0,0,0,2,0,0,0,0,2008
"SILVEIRA MARTINS",0,0,27,2,0,0,1,0,3,0,0,2,0,2008
SINIMBU,0,1,22,4,0,1,0,0,0,1,0,6,0,2008
SOBRADINHO,1,13,339,24,0,2,2,0,29,1,10,14,9,2008
SOLEDADE,3,9,1055,61,0,4,1,0,43,2,24,28,10,2008
TABAI,0,2,36,12,0,3,0,0,2,0,0,0,2,2008
TAPEJARA,0,30,310,20,0,7,1,0,14,0,6,7,4,2008
TAPERA,0,14,112,7,1,2,1,0,14,1,1,3,8,2008
TAPES,4,4,679,74,0,2,0,0,18,0,5,20,7,2008
TAQUARA,16,69,1060,200,1,64,3,0,117,2,27,23,20,2008
TAQUARI,5,26,461,50,0,4,3,0,30,0,26,10,8,2008
"TAQUARUCU DO SUL",1,1,18,1,0,0,0,0,0,0,0,2,0,2008
TAVARES,0,0,77,1,0,0,0,0,0,0,2,1,4,2008
"TENENTE PORTELA",3,11,183,5,0,1,1,0,12,0,8,10,6,2008
"TERRA DE AREIA",1,9,154,9,0,0,0,0,6,0,7,6,11,2008
TEUTONIA,1,10,270,25,0,2,3,0,50,0,16,4,5,2008
"TIO HUGO",0,0,26,4,0,0,0,0,0,0,0,2,0,2008
"TIRADENTES DO SUL",0,6,50,1,0,0,0,0,0,0,0,2,0,2008
TOROPI,0,1,26,1,0,0,0,0,0,0,0,1,0,2008
TORRES,4,69,1084,148,0,8,2,0,78,2,118,20,70,2008
TRAMANDAI,12,115,2165,249,0,25,10,0,114,1,78,24,41,2008
