municipio,homicidio,furtos_veiculo,furtos,roubos,latrocionio,roubo_veiculo,extorsao,extorsao_sequesto,estelionato,delitos_corrupcao,posse_entorpecente,delitos_municoes,trafico_entorpecente
"SAO MARTINHO DA SERRA",0,0,56,2,0,1,1,0,1,0,0,1,0
"SAO MIGUEL DAS MISSOES",1,1,56,5,0,0,0,0,0,0,1,5,0
"SAO NICOLAU",0,0,140,6,0,0,0,0,7,0,0,15,1
"SAO PAULO DAS MISSOES",0,0,19,0,0,0,0,0,1,0,0,4,0
"SAO PEDRO DA SERRA",0,0,22,0,0,0,0,0,0,0,0,2,0
"SAO PEDRO DAS MISSOES",1,1,16,1,0,0,0,0,0,0,0,1,0
"SAO PEDRO DO BUTIA",0,0,3,1,0,0,0,0,1,0,0,1,0
"SAO PEDRO DO SUL",0,6,372,17,0,0,1,0,5,1,10,8,6
"SAO SEBASTIAO DO CAI",2,28,433,74,0,4,0,0,41,0,11,8,18
"SAO SEPE",3,16,838,42,0,0,4,0,31,0,15,22,31
"SAO VALENTIM",0,1,34,0,0,1,0,0,0,1,0,0,0
"SAO VALENTIM DO SUL",0,0,13,4,0,0,0,0,0,0,0,0,0
"SAO VALERIO DO SUL",0,0,17,2,0,0,0,0,0,0,1,2,0
"SAO VENDELINO",0,2,9,3,0,3,0,0,0,0,0,0,0
"SAO VICENTE DO SUL",0,2,101,4,0,0,0,0,2,0,2,7,2
SAPIRANGA,4,52,1263,274,0,40,2,0,82,0,94,23,33
"SAPUCAIA DO SUL",35,354,2208,1284,1,308,8,0,109,3,66,62,73
SARANDI,3,8,402,46,0,2,0,0,31,0,12,11,5
SEBERI,5,11,122,4,0,1,0,0,6,0,0,11,3
"SEDE NOVA",0,0,21,0,0,0,0,0,1,0,0,1,0
SEGREDO,0,1,46,0,0,0,0,0,5,0,0,6,0
SELBACH,1,0,34,0,0,0,0,0,5,0,0,1,0
"SENADOR SALGADO FILHO",0,0,13,2,0,0,0,0,0,0,0,0,0
"SENTINELA DO SUL",0,2,106,4,0,0,0,0,2,0,0,7,1
"SERAFINA CORREA",1,14,110,4,0,3,0,0,7,0,11,0,2
SERIO,0,0,17,0,0,0,0,0,0,0,1,1,0
SERTAO,2,4,43,2,0,2,0,0,4,0,0,2,0
"SERTAO SANTANA",0,4,66,3,0,1,0,0,4,0,1,0,0
"SETE DE SETEMBRO",0,0,25,2,0,0,0,0,0,0,0,3,0
"SEVERIANO DE ALMEIDA",2,0,30,0,0,0,0,0,1,0,0,0,0
"SILVEIRA MARTINS",1,0,27,1,0,0,0,0,3,0,0,2,0
SINIMBU,0,1,43,7,0,2,0,0,3,0,0,1,0
SOBRADINHO,4,4,357,18,0,1,2,0,22,0,11,8,14
SOLEDADE,6,8,897,68,1,8,1,0,57,1,28,22,11
TABAI,0,1,23,5,0,1,0,0,0,0,1,0,0
TAPEJARA,1,20,320,12,0,4,1,0,33,1,12,4,6
TAPERA,0,5,140,7,0,1,0,0,13,0,0,6,10
TAPES,5,7,530,35,0,1,1,0,17,0,8,18,5
TAQUARA,12,63,811,150,0,53,3,0,85,0,26,12,22
TAQUARI,2,19,380,34,1,3,2,0,27,0,29,8,16
"TAQUARUCU DO SUL",0,0,16,0,0,0,0,0,0,0,0,3,2
TAVARES,0,0,82,2,0,0,1,0,4,0,5,1,8
"TENENTE PORTELA",4,15,176,14,0,1,0,0,9,1,5,8,2
"TERRA DE AREIA",0,4,175,10,0,0,0,0,3,0,3,8,3
TEUTONIA,3,18,292,31,1,1,1,0,21,0,30,7,6
"TIO HUGO",0,3,21,6,0,3,0,0,3,0,0,1,0
"TIRADENTES DO SUL",2,3,61,2,0,1,0,0,3,0,0,6,0
TOROPI,1,1,16,0,0,0,0,0,0,0,1,2,0
TORRES,3,71,990,134,1,8,4,0,80,0,178,14,62
TRAMANDAI,5,109,2138,293,0,17,7,0,109,2,94,17,47
TRAVESSEIRO,0,0,5,0,0,1,0,0,2,0,0,0,0
"TRES ARROIOS",0,0,43,0,0,0,0,0,0,0,0,1,0
"TRES CACHOEIRAS",0,12,98,8,0,1,1,0,0,0,2,0,1
"TRES COROAS",1,11,362,35,0,3,0,0,26,0,18,8,8
"TRES DE MAIO",1,7,564,45,0,1,0,0,31,0,6,18,5
"TRES FORQUILHAS",0,0,14,0,0,0,0,0,0,0,0,0,0
"TRES PALMEIRAS",0,1,27,7,0,1,0,0,1,0,0,2,0
"TRES PASSOS",4,27,372,13,0,1,4,0,22,0,5,12,9
"TRINDADE DO SUL",1,3,61,5,0,1,0,0,2,0,0,3,0
TRIUNFO,0,9,413,68,1,11,1,0,24,1,19,16,18
TUCUNDUVA,0,4,33,3,0,0,0,0,4,0,1,2,0
