municipio,homicidio,furtos_veiculo,furtos,roubos,latrocionio,roubo_veiculo,extorsao,extorsao_sequesto,estelionato,delitos_corrupcao,posse_entorpecente,delitos_municoes,trafico_entorpecente
IBIRUBA,0,16,352,20,0,0,2,0,27,0,5,0,2
IGREJINHA,3,43,706,101,0,13,1,0,50,0,37,1,8
IJUI,9,63,2029,178,0,5,3,0,105,2,29,0,4
ILOPOLIS,1,1,50,4,0,1,0,0,3,0,0,0,0
IMBE,1,38,1863,67,0,8,0,0,30,1,36,0,4
IMIGRANTE,0,0,13,0,0,0,0,0,2,0,0,0,0
INDEPENDENCIA,0,1,72,3,0,0,0,0,8,0,0,0,0
INHACORA,0,1,25,1,0,0,0,0,1,0,0,0,0
IPE,1,0,70,1,0,0,0,0,4,0,4,0,1
"IPIRANGA DO SUL",0,1,8,0,0,0,0,0,0,0,0,0,0
IRAI,2,5,195,14,0,1,0,0,12,0,5,0,5
ITAARA,0,0,118,5,0,0,0,0,4,0,1,0,0
ITACURUBI,0,1,29,1,0,0,0,0,0,0,0,0,0
ITAPUCA,1,0,17,5,0,0,0,0,2,0,0,0,0
ITAQUI,13,25,1084,104,0,2,0,0,40,3,10,0,3
ITATI,2,0,19,1,0,0,0,0,1,0,0,0,0
"ITATIBA DO SUL",3,0,8,1,0,0,0,0,0,0,0,0,0
IVORA,0,1,28,1,0,0,0,0,2,0,0,0,0
IVOTI,2,18,217,28,0,10,0,0,16,0,3,0,2
JABOTICABA,3,3,35,2,0,1,0,0,0,0,0,0,0
JACUIZINHO,0,0,8,0,0,0,0,0,0,0,0,0,0
JACUTINGA,0,3,38,1,0,0,0,0,0,0,1,0,0
JAGUARAO,3,5,625,38,0,2,0,0,41,0,7,0,1
JAGUARI,1,3,100,3,0,0,0,0,11,0,2,0,3
JAQUIRANA,3,0,27,2,0,0,0,0,0,0,0,0,1
JARI,1,0,10,0,0,0,0,0,0,0,0,0,0
JOIA,0,2,73,1,0,0,0,0,5,0,0,0,1
"JULIO DE CASTILHOS",3,5,485,39,0,3,1,0,31,0,7,0,3
"LAGOA BONITA DO SUL",0,0,9,1,0,0,0,0,0,0,0,0,0
"LAGOA DOS TRES CANTOS",0,1,10,0,0,0,0,0,0,0,0,0,0
"LAGOA VERMELHA",2,21,595,37,0,7,1,0,65,2,15,0,11
LAGOAO,2,0,14,1,0,0,0,0,0,0,0,0,0
LAJEADO,9,166,1227,343,0,99,4,0,112,1,44,0,10
"LAJEADO DO BUGRE",1,0,19,1,0,1,0,0,0,0,0,0,0
"LAVRAS DO SUL",0,1,87,7,0,0,0,0,1,0,0,0,0
"LIBERATO SALZANO",0,4,53,1,0,2,0,0,1,0,1,0,0
"LINDOLFO COLLOR",0,0,22,3,0,2,0,0,4,0,0,0,0
"LINHA NOVA",0,1,11,1,0,0,0,0,1,0,0,0,0
MACAMBARA,0,0,38,2,0,0,0,0,0,0,0,0,1
MACHADINHO,1,5,34,1,0,0,0,0,1,0,2,0,0
MAMPITUBA,0,7,6,0,0,0,1,0,0,0,0,0,0
"MANOEL VIANA",1,2,148,8,0,0,0,0,4,0,0,0,0
MAQUINE,0,0,87,5,0,0,0,0,2,0,0,0,1
MARATA,0,1,19,0,0,0,0,0,2,0,1,0,0
MARAU,2,85,483,29,0,9,0,0,52,0,14,0,3
"MARCELINO RAMOS",0,3,78,3,0,0,1,0,6,0,2,0,1
"MARIANA PIMENTEL",0,2,30,6,0,2,0,0,0,0,0,0,0
"MARIANO MORO",0,0,7,0,0,0,0,0,0,0,0,0,0
"MARQUES DE SOUZA",1,0,26,1,0,0,0,0,0,0,0,0,0
MATA,0,0,24,0,0,0,0,0,2,0,0,0,0
"MATO CASTELHANO",1,3,48,2,0,1,0,0,0,0,0,0,0
"MATO LEITAO",0,5,36,1,0,0,0,0,0,0,0,0,0
"MATO QUEIMADO",0,0,7,0,0,0,0,0,1,0,0,0,0
"MAXIMILIANO DE ALMEIDA",0,5,35,1,0,0,0,0,12,0,0,0,0
"MINAS DO LEAO",1,1,73,1,0,0,0,0,2,0,1,0,0
MIRAGUAI,3,5,64,6,0,0,0,0,8,0,0,0,0
MONTAURI,0,0,21,0,0,0,0,0,0,0,0,0,0
"MONTE ALEGRE DOS CAMPOS",0,0,11,1,0,0,0,0,0,0,0,0,0
"MONTE BELO DO SUL",0,0,15,0,0,0,0,0,0,0,0,0,0
MONTENEGRO,9,88,1460,156,2,21,7,1,79,2,86,1,14
MORMACO,0,1,11,0,0,0,0,0,0,0,0,0,0
"MORRINHOS DO SUL",0,1,7,0,0,0,0,0,0,0,0,0,0
"MORRO REDONDO",0,1,36,0,0,0,0,0,1,0,0,0,0
"MORRO REUTER",0,1,34,2,0,1,0,0,1,0,0,0,0
MOSTARDAS,2,3,299,13,0,0,0,0,11,0,3,0,4
MUCUM,1,2,93,8,0,0,0,0,2,1,5,0,0
"MUITOS CAPOES",0,0,25,0,0,0,0,0,0,0,0,0,0
MULITERNO,0,0,9,1,0,1,0,0,2,0,0,0,0
NAO-ME-TOQUE,0,19,354,4,0,2,1,0,16,0,3,0,0
"NICOLAU VERGUEIRO",0,0,22,0,0,0,0,0,0,0,0,0,0
NONOAI,2,1,232,10,0,1,0,0,17,0,2,0,0
"NOVA ALVORADA",1,1,21,3,0,0,0,0,0,0,0,0,0
"NOVA ARACA",0,1,41,0,0,0,0,0,0,0,0,0,1
"NOVA BASSANO",0,4,67,0,0,0,0,0,9,0,5,0,2
"NOVA BOA VISTA",0,1,5,0,0,0,0,0,0,0,0,0,0
"NOVA BRESCIA",0,0,30,1,0,0,1,0,1,0,0,0,0
"NOVA CANDELARIA",0,0,7,0,0,0,0,0,1,0,0,0,0
"NOVA ESPERANCA DO SUL",2,2,24,1,0,0,0,0,0,0,1,0,0
"NOVA HARTZ",2,5,273,30,0,9,0,0,13,0,10,0,0
"NOVA PADUA",0,0,8,0,0,0,0,0,0,0,0,0,0
"NOVA PALMA",2,2,98,4,0,0,0,0,3,0,1,0,0
"NOVA PETROPOLIS",1,10,258,3,0,0,1,0,46,3,4,0,0
"NOVA PRATA",0,12,245,10,0,1,0,0,36,2,9,0,4
"NOVA RAMADA",1,3,35,1,0,0,0,0,4,0,0,0,0
"NOVA ROMA DO SUL",0,1,6,0,0,0,0,0,1,0,0,0,0
"NOVA SANTA RITA",0,2,192,23,0,2,0,0,11,0,4,0,1
"NOVO BARREIRO",0,2,16,1,0,0,0,0,2,0,0,0,0
"NOVO CABRAIS",0,1,28,2,0,0,1,0,1,0,0,0,0
"NOVO HAMBURGO",40,830,6453,2348,4,757,6,1,433,3,105,0,21
"NOVO MACHADO",1,0,23,2,0,0,0,0,0,0,0,0,0
"NOVO TIRADENTES",0,0,23,0,0,0,0,0,0,0,0,0,0
"NOVO XINGU",0,0,7,0,0,0,0,0,0,0,0,0,0
OSORIO,1,67,1257,114,0,1,0,0,53,0,35,1,9
"OUTROS LOCAIS",0,1,40,0,0,0,0,0,0,0,0,0,0
"PAIM FILHO",0,0,16,1,0,0,0,0,2,0,0,0,0
"PALMARES DO SUL",2,7,672,15,0,1,1,0,12,1,5,1,2
"PALMEIRA DAS MISSOES",3,47,941,71,2,10,1,1,45,1,13,1,8
PALMITINHO,0,2,48,0,0,0,0,0,4,0,0,0,0
PANAMBI,3,18,576,24,0,2,3,0,66,0,26,0,2
"PANTANO GRANDE",1,4,300,13,0,2,0,0,19,0,2,0,2
PARAI,0,3,73,1,0,0,0,0,2,0,0,0,0
"PARAISO DO SUL",2,2,73,3,0,0,0,0,5,0,0,0,0
"PARECI NOVO",0,2,45,5,0,1,0,0,1,0,3,0,0
PAROBE,8,38,785,165,2,21,3,0,58,1,35,0,7
"PASSA SETE",0,0,25,1,0,0,0,0,2,0,0,0,1
"PASSO DO SOBRADO",0,2,73,8,0,0,0,0,5,1,0,0,0
"PASSO FUNDO",26,413,5249,705,3,32,7,0,274,3,101,2,26
"PAULO BENTO",1,2,20,0,0,0,0,0,1,0,0,0,0
PAVERAMA,0,2,31,5,0,3,0,0,1,0,0,0,0
"PEDRAS ALTAS",1,1,43,3,0,0,0,0,0,0,0,0,0
"PEDRO OSORIO",0,0,219,9,0,0,0,0,4,0,3,0,1
PEJUCARA,1,2,49,0,0,0,0,0,4,1,0,0,0
PELOTAS,19,395,7464,2141,1,74,7,0,455,3,145,0,25
"PICADA CAFE",3,1,34,3,0,0,0,0,2,0,0,0,0
PINHAL,0,4,24,5,0,0,1,0,5,0,0,0,0
"PINHAL DA SERRA",0,0,35,4,0,0,0,0,5,0,0,0,1
"PINHAL GRANDE",1,0,45,1,0,0,0,0,1,0,0,0,0
"PINHEIRINHO DO VALE",0,0,28,3,0,0,0,0,1,0,1,0,0
"PINHEIRO MACHADO",1,0,230,6,0,0,0,0,9,0,3,0,3
PIRAPO,0,0,49,1,0,0,0,0,1,2,0,0,0
PIRATINI,1,3,287,6,0,0,0,0,10,0,8,0,1
PLANALTO,2,8,181,11,0,0,1,0,16,0,1,0,1
